id1,id2,score,is_correct,classification
playtime_16,sales_9075,0.8999999999999999,,
playtime_24,sales_3769,0.7999999999999999,,
playtime_18920,sales_1201,0.7,,
playtime_18920,sales_2248,0.7,,
playtime_18921,sales_1201,0.7,,
playtime_18921,sales_2248,0.7,,
playtime_18922,sales_1201,0.7,,
playtime_18922,sales_2248,0.7,,
playtime_18923,sales_1201,0.7,,
playtime_18923,sales_2248,0.7,,
playtime_49259,sales_13691,0.7,,
playtime_49260,sales_13691,0.7,,
playtime_49261,sales_13691,0.8,,
playtime_49262,sales_13691,0.7333333333333334,,
playtime_55,sales_16541,0.7,,
playtime_56,sales_4831,0.7666666666666666,,
playtime_57,sales_4831,0.7666666666666666,,
playtime_58,sales_4831,0.8666666666666667,,
playtime_33776,sales_15153,0.8,,
playtime_23301,sales_10159,0.8,,
playtime_38836,sales_3406,0.7999999999999999,,
playtime_38836,sales_7848,0.7999999999999999,,
playtime_38836,sales_13266,0.9,,
playtime_38837,sales_3406,0.7999999999999999,,
playtime_38837,sales_7848,0.7999999999999999,,
playtime_38837,sales_13266,0.7999999999999999,,
playtime_38838,sales_3406,0.85,,
playtime_38838,sales_7848,0.7999999999999999,,
playtime_38838,sales_13266,0.7999999999999999,,
playtime_38839,sales_3406,0.9,,
playtime_38839,sales_7848,0.7999999999999999,,
playtime_38839,sales_13266,0.7999999999999999,,
playtime_89,sales_1613,1.0,,
playtime_89,sales_2425,0.8999999999999999,,
playtime_89,sales_4112,0.8999999999999999,,
playtime_89,sales_4524,0.8999999999999999,,
playtime_90,sales_1613,0.9333333333333333,,
playtime_90,sales_2425,0.8999999999999999,,
playtime_90,sales_4112,0.8999999999999999,,
playtime_90,sales_4524,0.8999999999999999,,
playtime_91,sales_1613,0.8999999999999999,,
playtime_91,sales_2425,0.8999999999999999,,
playtime_91,sales_4112,0.8999999999999999,,
playtime_91,sales_4524,1.0,,
playtime_92,sales_1613,0.8999999999999999,,
playtime_92,sales_2425,1.0,,
playtime_92,sales_4112,0.8999999999999999,,
playtime_92,sales_4524,0.8999999999999999,,
playtime_27448,sales_2902,0.8999999999999999,,
playtime_27448,sales_4169,0.8999999999999999,,
playtime_27449,sales_2902,1.0,,
playtime_27449,sales_4169,0.8999999999999999,,
playtime_27450,sales_2902,0.8999999999999999,,
playtime_27450,sales_4169,1.0,,
playtime_93,sales_5860,0.9,,
playtime_94,sales_4577,0.7999999999999999,,
playtime_94,sales_8430,0.7999999999999999,,
playtime_95,sales_4577,0.9,,
playtime_95,sales_8430,0.7999999999999999,,
playtime_96,sales_4577,0.7999999999999999,,
playtime_96,sales_8430,0.7999999999999999,,
playtime_28278,sales_1383,0.7666666666666666,,
playtime_28279,sales_1383,0.7666666666666666,,
playtime_28280,sales_1383,0.7666666666666666,,
playtime_24219,sales_4711,0.7,,
playtime_107,sales_2306,0.7,,
playtime_110,sales_12824,0.7,,
playtime_70390,sales_1325,0.8,,
playtime_113,sales_5803,0.8999999999999999,,
playtime_114,sales_5803,0.8999999999999999,,
playtime_115,sales_5803,0.8999999999999999,,
playtime_26855,sales_6902,0.7,,
playtime_26856,sales_6902,0.7,,
playtime_26857,sales_6902,0.7,,
playtime_26858,sales_6902,0.7,,
playtime_32827,sales_5680,0.7,,
playtime_120,sales_7361,0.7999999999999999,,
playtime_120,sales_7801,0.9,,
playtime_121,sales_7361,0.9,,
playtime_121,sales_7801,0.7999999999999999,,
playtime_122,sales_980,1.0,,
playtime_122,sales_4437,0.8999999999999999,,
playtime_122,sales_11194,0.7,,
playtime_123,sales_980,0.9333333333333333,,
playtime_123,sales_4437,0.8999999999999999,,
playtime_123,sales_11194,0.7,,
playtime_124,sales_980,0.8999999999999999,,
playtime_124,sales_4437,0.8999999999999999,,
playtime_124,sales_11194,0.7,,
playtime_132,sales_5656,0.8,,
playtime_133,sales_5656,0.7,,
playtime_134,sales_9543,0.8999999999999999,,
playtime_134,sales_11560,0.8999999999999999,,
playtime_135,sales_9543,0.8999999999999999,,
playtime_135,sales_11560,0.8999999999999999,,
playtime_137,sales_12856,0.8,,
playtime_138,sales_12856,0.7,,
playtime_145,sales_9277,1.0,,
playtime_146,sales_7582,0.8999999999999999,,
playtime_147,sales_9618,0.8999999999999999,,
