id1,id2,is_true_match,classification
playtime_36,sales_375,,
playtime_36,sales_12800,,
playtime_36,sales_11476,,
playtime_36,sales_2260,,
playtime_37,sales_3018,,
playtime_38,sales_466,,
playtime_38,sales_2260,,
playtime_38,sales_1191,,
playtime_38,sales_869,,
playtime_38,sales_375,,
playtime_38,sales_648,,
playtime_38,sales_2060,,
playtime_38,sales_939,,
playtime_38,sales_2034,,
playtime_38,sales_2,,
playtime_39,sales_1191,,
playtime_39,sales_2034,,
playtime_39,sales_2,,
playtime_39,sales_2260,,
playtime_39,sales_22,,
playtime_39,sales_5518,,
playtime_39,sales_8924,,
playtime_39,sales_939,,
playtime_40,sales_7999,,
playtime_40,sales_1284,,
playtime_40,sales_12832,,
playtime_40,sales_1219,,
playtime_40,sales_8236,,
playtime_40,sales_3859,,
playtime_40,sales_8375,,
playtime_40,sales_994,,
playtime_40,sales_4667,,
playtime_40,sales_1493,,
playtime_44,sales_7134,,
playtime_44,sales_12400,,
playtime_44,sales_12416,,
playtime_44,sales_8262,,
playtime_44,sales_16290,,
playtime_44,sales_14331,,
playtime_44,sales_14412,,
playtime_44,sales_9109,,
playtime_44,sales_8579,,
playtime_44,sales_11978,,
playtime_45,sales_7711,,
playtime_45,sales_11309,,
playtime_45,sales_7114,,
playtime_45,sales_11232,,
playtime_45,sales_14621,,
playtime_45,sales_11762,,
playtime_45,sales_13891,,
playtime_45,sales_3646,,
playtime_45,sales_5255,,
playtime_45,sales_5537,,
playtime_46,sales_7711,,
playtime_46,sales_7114,,
playtime_46,sales_14621,,
playtime_46,sales_11309,,
playtime_46,sales_4745,,
playtime_47,sales_3262,,
playtime_48,sales_3262,,
playtime_48,sales_15705,,
playtime_49,sales_3262,,
playtime_50,sales_3262,,
playtime_50,sales_4582,,
playtime_51,sales_838,,
playtime_51,sales_7025,,
playtime_51,sales_10217,,
playtime_51,sales_6069,,
playtime_51,sales_7619,,
playtime_51,sales_7625,,
playtime_51,sales_15227,,
playtime_51,sales_13354,,
playtime_51,sales_2302,,
playtime_51,sales_1083,,
playtime_52,sales_838,,
playtime_52,sales_2302,,
playtime_52,sales_1083,,
playtime_52,sales_15227,,
playtime_52,sales_7025,,
playtime_52,sales_6069,,
playtime_52,sales_5806,,
playtime_52,sales_7895,,
playtime_52,sales_1,,
playtime_52,sales_11073,,
playtime_53,sales_838,,
playtime_53,sales_2302,,
playtime_53,sales_1083,,
playtime_53,sales_7025,,
playtime_53,sales_6069,,
playtime_53,sales_15227,,
playtime_53,sales_5806,,
playtime_53,sales_7895,,
playtime_53,sales_7448,,
playtime_53,sales_9776,,
playtime_54,sales_13134,,
playtime_54,sales_9408,,
playtime_54,sales_10565,,
playtime_54,sales_12813,,
playtime_54,sales_15645,,
playtime_54,sales_8687,,
playtime_54,sales_11725,,
playtime_54,sales_2462,,
playtime_54,sales_7280,,
playtime_54,sales_10938,,
playtime_55,sales_16541,,
playtime_55,sales_12416,,
playtime_55,sales_6253,,
playtime_55,sales_15123,,
playtime_56,sales_4831,,
playtime_56,sales_10076,,
playtime_57,sales_10076,,
playtime_57,sales_4831,,
playtime_57,sales_11464,,
playtime_57,sales_6133,,
playtime_57,sales_11725,,
playtime_57,sales_5788,,
playtime_57,sales_8751,,
playtime_57,sales_14365,,
playtime_57,sales_2240,,
playtime_57,sales_1138,,
playtime_58,sales_4831,,
playtime_58,sales_10076,,
playtime_58,sales_8725,,
playtime_58,sales_2868,,
playtime_58,sales_2465,,
playtime_58,sales_4608,,
playtime_58,sales_2471,,
playtime_58,sales_8850,,
playtime_58,sales_642,,
playtime_58,sales_2056,,
playtime_59,sales_15153,,
playtime_59,sales_10159,,
playtime_73,sales_167,,
playtime_73,sales_2060,,
playtime_73,sales_1721,,
playtime_73,sales_3264,,
playtime_73,sales_3098,,
playtime_73,sales_5584,,
playtime_73,sales_7315,,
playtime_73,sales_5137,,
playtime_73,sales_6056,,
playtime_73,sales_12544,,
playtime_74,sales_2060,,
playtime_74,sales_11827,,
playtime_74,sales_6056,,
playtime_84,sales_11476,,
playtime_87,sales_14903,,
playtime_87,sales_8582,,
playtime_87,sales_1994,,
playtime_87,sales_13825,,
playtime_87,sales_3016,,
playtime_87,sales_13116,,
playtime_87,sales_205,,
playtime_87,sales_6031,,
playtime_87,sales_6047,,
playtime_87,sales_5733,,
playtime_88,sales_13674,,
playtime_88,sales_16078,,
playtime_88,sales_1994,,
playtime_89,sales_1613,,
playtime_89,sales_200,,
playtime_89,sales_4112,,
playtime_89,sales_2425,,
playtime_89,sales_4524,,
playtime_89,sales_7566,,
playtime_89,sales_2710,,
playtime_89,sales_590,,
playtime_89,sales_1655,,
playtime_89,sales_348,,
playtime_90,sales_1613,,
playtime_90,sales_4112,,
playtime_90,sales_4524,,
playtime_90,sales_2425,,
playtime_90,sales_2710,,
playtime_90,sales_1655,,
playtime_90,sales_200,,
playtime_90,sales_7566,,
playtime_90,sales_12795,,
playtime_90,sales_14922,,
playtime_91,sales_4524,,
playtime_91,sales_2425,,
playtime_91,sales_4112,,
playtime_91,sales_1613,,
playtime_91,sales_1904,,
playtime_91,sales_2101,,
playtime_91,sales_2027,,
playtime_91,sales_8095,,
playtime_91,sales_2620,,
playtime_91,sales_367,,
playtime_92,sales_2425,,
playtime_92,sales_4524,,
playtime_92,sales_367,,
playtime_92,sales_1613,,
playtime_92,sales_4112,,
playtime_92,sales_9162,,
playtime_92,sales_878,,
playtime_92,sales_584,,
playtime_92,sales_8095,,
playtime_92,sales_276,,
playtime_93,sales_5860,,
playtime_93,sales_4577,,
playtime_93,sales_16346,,
playtime_93,sales_15673,,
playtime_93,sales_3926,,
playtime_93,sales_284,,
playtime_93,sales_3494,,
playtime_93,sales_2649,,
playtime_93,sales_14864,,
playtime_93,sales_3793,,
playtime_94,sales_8430,,
playtime_94,sales_15768,,
playtime_94,sales_4577,,
playtime_94,sales_13404,,
playtime_94,sales_666,,
playtime_94,sales_282,,
playtime_94,sales_5842,,
playtime_94,sales_15796,,
playtime_94,sales_14931,,
playtime_94,sales_11811,,
playtime_95,sales_4577,,
playtime_95,sales_5860,,
playtime_95,sales_12088,,
playtime_95,sales_4670,,
playtime_95,sales_13999,,
playtime_95,sales_4578,,
playtime_95,sales_4582,,
playtime_95,sales_7588,,
playtime_95,sales_2364,,
playtime_95,sales_3793,,
playtime_96,sales_4577,,
playtime_96,sales_8430,,
playtime_96,sales_4194,,
playtime_96,sales_5994,,
playtime_96,sales_4292,,
playtime_96,sales_7028,,
playtime_96,sales_10653,,
playtime_96,sales_6316,,
playtime_96,sales_6110,,
playtime_96,sales_2247,,
playtime_97,sales_3495,,
playtime_97,sales_5419,,
playtime_97,sales_8744,,
playtime_97,sales_9357,,
playtime_97,sales_6611,,
playtime_97,sales_3374,,
playtime_97,sales_3554,,
playtime_97,sales_10950,,
playtime_97,sales_3419,,
playtime_97,sales_9671,,
playtime_98,sales_3064,,
playtime_98,sales_3950,,
playtime_98,sales_3495,,
playtime_98,sales_8935,,
playtime_98,sales_8263,,
playtime_98,sales_6316,,
playtime_98,sales_6659,,
playtime_98,sales_8744,,
playtime_98,sales_5419,,
playtime_98,sales_9343,,
playtime_99,sales_2467,,
playtime_99,sales_868,,
playtime_99,sales_313,,
playtime_99,sales_2060,,
playtime_99,sales_1386,,
playtime_99,sales_648,,
playtime_99,sales_2705,,
playtime_99,sales_1858,,
playtime_99,sales_2548,,
playtime_99,sales_23,,
playtime_101,sales_3532,,
playtime_101,sales_7606,,
playtime_101,sales_8267,,
playtime_101,sales_8525,,
playtime_101,sales_1633,,
playtime_101,sales_14276,,
playtime_101,sales_124,,
playtime_101,sales_1847,,
playtime_101,sales_4273,,
playtime_101,sales_847,,
playtime_102,sales_1170,,
playtime_102,sales_10647,,
playtime_102,sales_13353,,
playtime_103,sales_1170,,
playtime_103,sales_10647,,
playtime_103,sales_10281,,
playtime_103,sales_4092,,
playtime_103,sales_7081,,
playtime_103,sales_13353,,
playtime_103,sales_13811,,
playtime_103,sales_9629,,
playtime_105,sales_8847,,
playtime_105,sales_10300,,
playtime_105,sales_7941,,
playtime_105,sales_7131,,
playtime_105,sales_5178,,
playtime_105,sales_7915,,
playtime_105,sales_9418,,
playtime_105,sales_12475,,
playtime_105,sales_3294,,
playtime_105,sales_365,,
playtime_107,sales_2306,,
playtime_107,sales_3164,,
playtime_107,sales_6653,,
playtime_107,sales_1383,,
playtime_107,sales_488,,
playtime_107,sales_11003,,
playtime_107,sales_2317,,
playtime_107,sales_4081,,
playtime_107,sales_3655,,
playtime_107,sales_6805,,
playtime_108,sales_12824,,
playtime_108,sales_14157,,
playtime_108,sales_309,,
playtime_108,sales_16330,,
playtime_108,sales_11339,,
playtime_108,sales_952,,
playtime_108,sales_9237,,
playtime_108,sales_384,,
playtime_108,sales_11758,,
playtime_108,sales_10729,,
playtime_109,sales_16330,,
playtime_109,sales_5712,,
playtime_109,sales_11888,,
playtime_109,sales_8736,,
playtime_109,sales_11762,,
playtime_109,sales_12119,,
playtime_109,sales_10523,,
playtime_109,sales_7926,,
playtime_109,sales_11197,,
playtime_109,sales_7027,,
playtime_110,sales_12824,,
playtime_110,sales_15090,,
playtime_110,sales_14448,,
playtime_110,sales_5159,,
playtime_110,sales_2104,,
playtime_111,sales_2317,,
playtime_111,sales_1835,,
playtime_111,sales_300,,
playtime_111,sales_12824,,
playtime_111,sales_11003,,
playtime_111,sales_6653,,
playtime_111,sales_6997,,
playtime_111,sales_9450,,
playtime_111,sales_2979,,
playtime_111,sales_7155,,
playtime_113,sales_5803,,
playtime_113,sales_60,,
playtime_113,sales_3646,,
playtime_114,sales_5803,,
playtime_115,sales_5803,,
playtime_115,sales_10241,,
playtime_119,sales_16541,,
playtime_120,sales_7801,,
playtime_120,sales_7361,,
playtime_120,sales_980,,
playtime_120,sales_7750,,
playtime_120,sales_2053,,
playtime_120,sales_11366,,
playtime_120,sales_4858,,
playtime_120,sales_1944,,
playtime_120,sales_1909,,
playtime_120,sales_3965,,
playtime_121,sales_7361,,
playtime_121,sales_7801,,
playtime_121,sales_8419,,
playtime_121,sales_4874,,
playtime_121,sales_8662,,
playtime_121,sales_10075,,
playtime_121,sales_11170,,
playtime_121,sales_3208,,
playtime_122,sales_980,,
playtime_122,sales_11194,,
playtime_122,sales_1722,,
playtime_122,sales_4437,,
playtime_122,sales_4577,,
playtime_122,sales_13999,,
playtime_122,sales_3810,,
playtime_122,sales_7801,,
playtime_122,sales_11239,,
playtime_122,sales_2364,,
playtime_123,sales_980,,
playtime_123,sales_11194,,
playtime_123,sales_4437,,
playtime_123,sales_1722,,
playtime_123,sales_1686,,
playtime_124,sales_980,,
playtime_124,sales_4437,,
playtime_124,sales_11194,,
playtime_124,sales_7361,,
playtime_124,sales_10613,,
playtime_124,sales_7028,,
playtime_125,sales_16541,,
playtime_125,sales_2261,,
playtime_125,sales_3391,,
playtime_125,sales_13369,,
playtime_125,sales_2203,,
playtime_126,sales_16541,,
playtime_130,sales_16541,,
playtime_130,sales_15820,,
playtime_131,sales_16146,,
playtime_131,sales_16546,,
playtime_131,sales_8262,,
playtime_132,sales_5656,,
playtime_132,sales_10959,,
playtime_132,sales_9543,,
playtime_132,sales_7735,,
playtime_132,sales_12856,,
playtime_132,sales_10523,,
playtime_132,sales_7779,,
playtime_132,sales_12119,,
playtime_132,sales_6886,,
playtime_132,sales_1574,,
playtime_133,sales_5656,,
playtime_133,sales_15542,,
playtime_133,sales_13339,,
playtime_133,sales_15095,,
playtime_133,sales_13773,,
playtime_133,sales_16371,,
playtime_133,sales_13128,,
playtime_133,sales_14012,,
playtime_133,sales_14215,,
playtime_133,sales_16578,,
playtime_134,sales_11560,,
playtime_134,sales_9543,,
playtime_135,sales_11560,,
playtime_135,sales_9543,,
playtime_135,sales_11022,,
playtime_135,sales_3833,,
playtime_135,sales_12856,,
playtime_135,sales_11459,,
playtime_135,sales_10656,,
playtime_135,sales_6103,,
playtime_135,sales_12979,,
playtime_135,sales_488,,
playtime_137,sales_12856,,
