id1,id2,score,is_correct,classification
playtime_35763,sales_3449,0.8166666666666668,,
playtime_9476,sales_907,0.8999999999999999,,
playtime_17819,sales_8876,0.8999999999999999,,
playtime_32973,sales_971,0.9113199300699302,,
playtime_11746,sales_5854,0.9999999999999999,,
playtime_13365,sales_7336,0.9842857142857142,,
playtime_24073,sales_1488,0.9533769063180827,,
playtime_39319,sales_13882,0.9628144078144077,,
playtime_2741,sales_12125,0.8923076923076922,,
playtime_34125,sales_288,0.85,,
playtime_4617,sales_11720,0.8400560224089635,,
playtime_39739,sales_8779,0.9999999999999999,,
playtime_4193,sales_4797,0.9615384615384616,,
playtime_48870,sales_2458,0.840486312399356,,
playtime_29688,sales_1372,0.9562962962962962,,
playtime_5812,sales_5343,0.9999999999999999,,
playtime_593,sales_1940,0.8449275362318841,,
playtime_25462,sales_7340,0.9999999999999999,,
playtime_2532,sales_10097,0.8833333333333333,,
playtime_11609,sales_2898,0.9562962962962962,,
playtime_41663,sales_13651,0.8764224664224664,,
playtime_24264,sales_10634,0.854074074074074,,
playtime_16648,sales_1886,0.8999999999999999,,
playtime_10187,sales_2110,0.9999999999999999,,
playtime_6765,sales_9271,0.9999999999999999,,
playtime_23569,sales_14126,0.8656198716860483,,
playtime_55101,sales_14554,0.8166666666666668,,
playtime_9,sales_7108,0.8666666666666666,,
playtime_7676,sales_666,0.8059577677224736,,
playtime_36143,sales_10508,0.8611490848332954,,
playtime_29571,sales_2686,0.9924999999999999,,
playtime_22444,sales_10390,0.8380812170285855,,
playtime_18818,sales_6544,0.9999999999999999,,
playtime_36765,sales_11628,0.851067821067821,,
playtime_35553,sales_10166,0.9243859649122808,,
playtime_21633,sales_12986,0.9314814814814814,,
playtime_19594,sales_1847,0.9999999999999999,,
playtime_3472,sales_3136,0.9882274247491638,,
playtime_31972,sales_8773,0.8999999999999999,,
playtime_3853,sales_2150,0.8833333333333333,,
playtime_23325,sales_12582,0.9842857142857142,,
playtime_4475,sales_5454,0.9851851851851853,,
playtime_26333,sales_4136,0.9294117647058823,,
playtime_18884,sales_3815,0.9999999999999999,,
playtime_4079,sales_1344,0.9999999999999999,,
playtime_24309,sales_11305,0.9666666666666666,,
playtime_31279,sales_1825,0.8487179487179488,,
playtime_4538,sales_3488,0.9157732585320242,,
playtime_1725,sales_970,0.8666666666666666,,
playtime_23170,sales_10561,0.9999999999999999,,
playtime_37685,sales_16449,0.9818181818181818,,
playtime_6150,sales_13041,0.9298611111111111,,
playtime_1703,sales_2816,0.9999999999999999,,
playtime_21912,sales_14871,0.9267432950191571,,
playtime_10269,sales_16234,0.8423076923076923,,
playtime_14175,sales_372,0.8150000000000001,,
playtime_775,sales_6918,0.8117547657021341,,
playtime_18050,sales_5463,0.8066666666666666,,
playtime_29566,sales_1355,0.9752586206896552,,
playtime_12984,sales_82,0.8488022440392706,,
playtime_19884,sales_7603,0.8666666666666666,,
playtime_2655,sales_2755,0.8666666666666666,,
playtime_13766,sales_15928,0.8377717391304347,,
playtime_2569,sales_551,0.9999999999999999,,
playtime_31231,sales_13201,0.8362037037037037,,
playtime_7796,sales_4639,0.9999999999999999,,
playtime_9000,sales_13540,0.9842857142857142,,
