id1,id2
playtime_40,metacritic_3717
playtime_40,metacritic_1418
playtime_44,metacritic_9946
playtime_44,metacritic_13476
playtime_44,metacritic_14651
playtime_44,metacritic_13853
playtime_44,metacritic_9435
playtime_44,metacritic_12374
playtime_44,metacritic_10262
playtime_44,metacritic_7181
playtime_44,metacritic_6279
playtime_44,metacritic_12411
playtime_46,metacritic_2041
playtime_49,metacritic_6049
playtime_50,metacritic_12115
playtime_51,metacritic_11162
playtime_51,metacritic_5710
playtime_51,metacritic_10455
playtime_52,metacritic_5710
playtime_52,metacritic_11162
playtime_52,metacritic_2041
playtime_52,metacritic_11749
playtime_52,metacritic_10455
playtime_52,metacritic_11267
playtime_52,metacritic_14382
playtime_53,metacritic_5710
playtime_53,metacritic_11162
playtime_53,metacritic_2041
playtime_53,metacritic_11749
playtime_53,metacritic_10455
playtime_53,metacritic_11267
playtime_53,metacritic_14382
playtime_53,metacritic_13370
playtime_55,metacritic_4105
playtime_55,metacritic_10855
playtime_55,metacritic_12374
playtime_55,metacritic_9826
playtime_55,metacritic_12411
playtime_55,metacritic_7083
playtime_55,metacritic_5329
playtime_55,metacritic_5933
playtime_55,metacritic_10029
playtime_55,metacritic_11467
playtime_56,metacritic_11332
playtime_57,metacritic_11332
playtime_58,metacritic_11332
playtime_58,metacritic_14584
playtime_58,metacritic_12560
playtime_58,metacritic_7017
playtime_58,metacritic_3685
playtime_58,metacritic_802
playtime_58,metacritic_11008
playtime_58,metacritic_2982
playtime_58,metacritic_11585
playtime_58,metacritic_3549
playtime_59,metacritic_10560
playtime_59,metacritic_10895
playtime_73,metacritic_7297
playtime_73,metacritic_7121
playtime_73,metacritic_2032
playtime_73,metacritic_543
playtime_73,metacritic_485
playtime_73,metacritic_13325
playtime_73,metacritic_5539
playtime_73,metacritic_9849
playtime_73,metacritic_244
playtime_73,metacritic_4830
playtime_74,metacritic_7121
playtime_74,metacritic_7297
playtime_74,metacritic_13218
playtime_74,metacritic_3939
playtime_74,metacritic_12928
playtime_74,metacritic_10844
playtime_87,metacritic_5742
playtime_88,metacritic_599
playtime_89,metacritic_3602
playtime_89,metacritic_4939
playtime_89,metacritic_3753
playtime_89,metacritic_5051
playtime_89,metacritic_4783
playtime_89,metacritic_5084
playtime_89,metacritic_3070
playtime_89,metacritic_10085
playtime_89,metacritic_4814
playtime_89,metacritic_8739
