cluster_size,frequency,percentage
2,6020,96.19686800894854
3,174,2.7804410354745923
4,46,0.7350591243208693
5,13,0.20773410035155004
6,2,0.03195909236177692
7,1,0.01597954618088846
8,2,0.03195909236177692
